Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 5
Frequency, 10
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
0.00625,5,-96993.7
0.0125,5,-5.87671e+010
0.01875,5,-3.56062e+016
0.025,5,-2.15733e+022
0.03125,5,-1.3071e+028
0.0375,5,-7.91952e+033
0.04375,5,-4.79833e+039
0.05,5,-2.90724e+045
0.05625,-5,-1.76146e+051
0.0625,-5,-1.06724e+057
0.06875,-5,-6.46627e+062
0.075,-5,-3.91782e+068
0.08125,-5,-2.37375e+074
0.0875,-5,-1.43823e+080
0.09375,-5,-8.71401e+085
0.1,5,-5.2797e+091
0.10625,5,-3.19889e+097
0.1125,5,-1.93817e+103
0.11875,5,-1.17431e+109
0.125,5,-7.11497e+114
0.13125,5,-4.31086e+120
0.1375,5,-2.61189e+126
0.14375,5,-1.58251e+132
0.15,-5,-9.5882e+137
0.15625,-5,-5.80936e+143
0.1625,-5,-3.51981e+149
0.16875,-5,-2.1326e+155
0.175,-5,-1.29212e+161
0.18125,-5,-7.82875e+166
0.1875,-5,-4.74333e+172
0.19375,-5,-2.87392e+178
0.2,5,-1.74127e+184
0.20625,5,-1.05501e+190
0.2125,5,-6.39216e+195
0.21875,5,-3.87292e+201
0.225,5,-2.34655e+207
0.23125,5,-1.42174e+213
0.2375,5,-8.61413e+218
0.24375,5,-5.21918e+224
0.25,-5,-3.16223e+230
0.25625,-5,-1.91595e+236
0.2625,-5,-1.16085e+242
0.26875,-5,-7.03342e+247
0.275,-5,-4.26145e+253
0.28125,-5,-2.58196e+259
0.2875,-5,-1.56437e+265
0.29375,-5,-9.47831e+270
0.3,-5,-5.74278e+276
0.30625,5,-3.47947e+282
0.3125,5,-2.10816e+288
0.31875,5,-1.27731e+294
0.325,5,-7.73902e+299
0.33125,5,-4.68896e+305
0.3375,5,-inf
0.34375,5,nan
0.35,5,nan
0.35625,-5,nan
0.3625,-5,nan
0.36875,-5,nan
0.375,-5,nan
0.38125,-5,nan
0.3875,-5,nan
0.39375,-5,nan
0.4,-5,nan
0.40625,5,nan
0.4125,5,nan
0.41875,5,nan
0.425,5,nan
0.43125,5,nan
0.4375,5,nan
0.44375,5,nan
0.45,5,nan
0.45625,-5,nan
0.4625,-5,nan
0.46875,-5,nan
0.475,-5,nan
0.48125,-5,nan
0.4875,-5,nan
0.49375,-5,nan
0.5,-5,nan
0.50625,5,nan
0.5125,5,nan
0.51875,5,nan
0.525,5,nan
0.53125,5,nan
0.5375,5,nan
0.54375,5,nan
0.55,5,nan
0.55625,-5,nan
0.5625,-5,nan
0.56875,-5,nan
0.575,-5,nan
0.58125,-5,nan
0.5875,-5,nan
0.59375,-5,nan
0.6,-5,nan
0.60625,5,nan
0.6125,5,nan
0.61875,5,nan
0.625,5,nan
0.63125,5,nan
0.6375,5,nan
0.64375,5,nan
0.65,5,nan
0.65625,-5,nan
0.6625,-5,nan
0.66875,-5,nan
0.675,-5,nan
0.68125,-5,nan
0.6875,-5,nan
0.69375,-5,nan
0.7,-5,nan
0.70625,5,nan
0.7125,5,nan
0.71875,5,nan
0.725,5,nan
0.73125,5,nan
0.7375,5,nan
0.74375,5,nan
0.75,5,nan
0.75625,-5,nan
0.7625,-5,nan
0.76875,-5,nan
0.775,-5,nan
0.78125,-5,nan
0.7875,-5,nan
0.79375,-5,nan
0.8,-5,nan
0.80625,5,nan
0.8125,5,nan
0.81875,5,nan
0.825,5,nan
0.83125,5,nan
0.8375,5,nan
0.84375,5,nan
0.85,5,nan
0.85625,-5,nan
0.8625,-5,nan
0.86875,-5,nan
0.875,-5,nan
0.88125,-5,nan
0.8875,-5,nan
0.89375,-5,nan
0.9,-5,nan
0.90625,5,nan
0.9125,5,nan
0.91875,5,nan
0.925,5,nan
0.93125,5,nan
0.9375,5,nan
0.94375,5,nan
0.95,5,nan
0.95625,-5,nan
0.9625,-5,nan
0.96875,-5,nan
0.975,-5,nan
0.98125,-5,nan
0.9875,-5,nan
0.99375,-5,nan
1,-5,nan
1.00625,5,nan
1.0125,5,nan
1.01875,5,nan
1.025,5,nan
1.03125,5,nan
1.0375,5,nan
1.04375,5,nan
