Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 1
Frequency, 10
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
0.0006,1,4
0.0012,1,24
0.0018,1,144
0.0024,1,864
0.003,1,5184
0.0036,1,31104
0.0042,1,186624
0.0048,1,1.11974e+006
0.0054,1,6.71846e+006
0.006,1,4.03108e+007
0.0066,1,2.41865e+008
0.0072,1,1.45119e+009
0.0078,1,8.70713e+009
0.0084,1,5.22428e+010
0.009,1,3.13457e+011
0.0096,1,1.88074e+012
0.0102,1,1.12844e+013
0.0108,1,6.77066e+013
0.0114,1,4.0624e+014
0.012,1,2.43744e+015
0.0126,1,1.46246e+016
0.0132,1,8.77478e+016
0.0138,1,5.26487e+017
0.0144,1,3.15892e+018
0.015,1,1.89535e+019
0.0156,1,1.13721e+020
0.0162,1,6.82327e+020
0.0168,1,4.09396e+021
0.0174,1,2.45638e+022
0.018,1,1.47383e+023
0.0186,1,8.84296e+023
0.0192,1,5.30577e+024
0.0198,1,3.18346e+025
0.0204,1,1.91008e+026
0.021,1,1.14605e+027
0.0216,1,6.87628e+027
0.0222,1,4.12577e+028
0.0228,1,2.47546e+029
0.0234,1,1.48528e+030
0.024,1,8.91166e+030
0.0246,1,5.347e+031
0.0252,1,3.2082e+032
0.0258,1,1.92492e+033
0.0264,1,1.15495e+034
0.027,1,6.92971e+034
0.0276,1,4.15783e+035
0.0282,1,2.4947e+036
0.0288,1,1.49682e+037
0.0294,1,8.9809e+037
0.03,1,5.38854e+038
0.0306,1,3.23313e+039
0.0312,1,1.93988e+040
0.0318,1,1.16393e+041
0.0324,1,6.98355e+041
0.033,1,4.19013e+042
0.0336,1,2.51408e+043
0.0342,1,1.50845e+044
0.0348,1,9.05068e+044
0.0354,1,5.43041e+045
0.036,1,3.25825e+046
0.0366,1,1.95495e+047
0.0372,1,1.17297e+048
0.0378,1,7.03781e+048
0.0384,1,4.22269e+049
0.039,1,2.53361e+050
0.0396,1,1.52017e+051
0.0402,1,9.121e+051
0.0408,1,5.4726e+052
0.0414,1,3.28356e+053
0.042,1,1.97014e+054
0.0426,1,1.18208e+055
0.0432,1,7.09249e+055
0.0438,1,4.25549e+056
0.0444,1,2.5533e+057
0.045,1,1.53198e+058
0.0456,1,9.19187e+058
0.0462,1,5.51512e+059
0.0468,1,3.30907e+060
0.0474,1,1.98544e+061
0.048,1,1.19127e+062
0.0486,1,7.1476e+062
0.0492,1,4.28856e+063
0.0498,1,2.57313e+064
0.0504,-1,1.54388e+065
