Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 1
Frequency, 1000
Phase Angle, 0
DC Offset, 0


Input Voltage 2
Type, sinusoidal
Amplitude, 5
Frequency, 10
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0.00332,2.03546,0.159471
0.00334,2.04161,0.14556
0.00336,2.04775,0.133363
0.00338,2.05389,0.122668
0.0034,2.06004,0.113292
0.00342,2.06618,0.10507
0.00344,2.07231,0.0978601
0.00346,2.07845,0.0915382
0.00348,2.08458,0.0859944
0.0035,0.0907162,-1.8522
0.00352,0.0968472,-1.73802
0.00354,0.102976,-1.63792
0.00356,0.109104,-1.55017
0.00358,0.11523,-1.47325
0.0036,0.121354,-1.40581
0.00362,0.127476,-1.34669
0.00364,0.133597,-1.29487
0.00366,0.139715,-1.24944
0.00368,0.145832,-1.20961
0.0037,0.151947,-1.1747
0.00372,0.15806,-1.14409
0.00374,0.164172,-1.11726
0.00376,0.170281,-1.09374
0.00378,0.176389,-1.07313
0.0038,0.182495,-1.05506
0.00382,0.188599,-1.03922
0.00384,0.194701,-1.02533
0.00386,0.200801,-1.01316
0.00388,0.2069,-1.00249
0.0039,0.212996,-0.99314
0.00392,0.219091,-0.984944
0.00394,0.225183,-0.977761
0.00396,0.231274,-0.971465
0.00398,0.237363,-0.965948
0.004,2.24345,0.97222
0.00402,2.24953,0.858012
0.00404,2.25562,0.757888
0.00406,2.2617,0.670111
0.00408,2.26778,0.593158
0.0041,2.27385,0.525694
0.00412,2.27993,0.466548
0.00414,2.286,0.414696
0.00416,2.29207,0.369236
0.00418,2.29814,0.329381
0.0042,2.30421,0.29444
0.00422,2.31027,0.263806
0.00424,2.31633,0.236949
0.00426,2.3224,0.213402
0.00428,2.32845,0.192757
0.0043,2.33451,0.174656
0.00432,2.34056,0.158786
0.00434,2.34662,0.144871
0.00436,2.35267,0.132671
0.00438,2.35871,0.121973
0.0044,2.36476,0.112592
0.00442,2.3708,0.104366
0.00444,2.37684,0.0971533
0.00446,2.38288,0.0908278
0.00448,2.38892,0.0852803
0.0045,0.394956,-1.85292
0.00452,0.400988,-1.73874
0.00454,0.407019,-1.63865
0.00456,0.413047,-1.5509
0.00458,0.419073,-1.47398
0.0046,0.425096,-1.40655
0.00462,0.431118,-1.34743
0.00464,0.437137,-1.29561
0.00466,0.443154,-1.25018
0.00468,0.449168,-1.21036
0.0047,0.455181,-1.17545
0.00472,0.461191,-1.14485
0.00474,0.467199,-1.11802
0.00476,0.473204,-1.09451
0.00478,0.479207,-1.0739
0.0048,0.485208,-1.05583
0.00482,0.491206,-1.03999
0.00484,0.497202,-1.02611
0.00486,0.503196,-1.01394
0.00488,0.509187,-1.00328
0.0049,0.515176,-0.99393
0.00492,0.521163,-0.985738
0.00494,0.527147,-0.978559
0.00496,0.533129,-0.972267
0.00498,0.539108,-0.966753
0.005,2.54508,0.971411
0.00502,2.55106,0.8572
0.00504,2.55703,0.757072
0.00506,2.563,0.669292
0.00508,2.56897,0.592335
0.0051,2.57493,0.524867
0.00512,2.58089,0.465718
0.00514,2.58685,0.413861
0.00516,2.59281,0.368398
0.00518,2.59877,0.32854
0.0052,2.60472,0.293595
0.00522,2.61067,0.262958
0.00524,2.61661,0.236097
0.00526,2.62256,0.212546
0.00528,2.6285,0.191897
0.0053,2.63444,0.173793
0.00532,2.64038,0.157919
0.00534,2.64631,0.144001
0.00536,2.65224,0.131797
0.00538,2.65817,0.121095
0.0054,2.6641,0.111711
0.00542,2.67002,0.103482
0.00544,2.67594,0.0962651
0.00546,2.68186,0.0899359
0.00548,2.68778,0.0843849
0.0055,0.69369,-1.85382
0.00552,0.6996,-1.73964
0.00554,0.705508,-1.63955
0.00556,0.711413,-1.55181
0.00558,0.717315,-1.47489
0.0056,0.723215,-1.40746
0.00562,0.729111,-1.34835
0.00564,0.735006,-1.29654
0.00566,0.740897,-1.25111
0.00568,0.746786,-1.21129
0.0057,0.752672,-1.17639
0.00572,0.758555,-1.14579
0.00574,0.764435,-1.11897
0.00576,0.770313,-1.09545
0.00578,0.776187,-1.07485
0.0058,0.782059,-1.05678
0.00582,0.787929,-1.04095
0.00584,0.793795,-1.02707
0.00586,0.799658,-1.01491
0.00588,0.805519,-1.00424
0.0059,0.811377,-0.994901
0.00592,0.817232,-0.986712
0.00594,0.823084,-0.979536
0.00596,0.828933,-0.973248
0.00598,0.834779,-0.967738
0.006,2.84062,0.970423
0.00602,2.84646,0.856208
0.00604,2.8523,0.756077
0.00606,2.85814,0.668292
0.00608,2.86397,0.591332
0.0061,2.8698,0.523861
0.00612,2.87562,0.464708
0.00614,2.88144,0.412848
0.00616,2.88726,0.367381
0.00618,2.89308,0.32752
0.0062,2.8989,0.292571
0.00622,2.90471,0.26193
0.00624,2.91051,0.235066
0.00626,2.91632,0.211511
0.00628,2.92212,0.190859
0.0063,2.92792,0.172752
0.00632,2.93372,0.156874
0.00634,2.93951,0.142952
0.00636,2.9453,0.130745
0.00638,2.95108,0.120039
0.0064,2.95687,0.110652
0.00642,2.96265,0.102419
0.00644,2.96843,0.0951988
0.00646,2.9742,0.0888661
0.00648,2.97997,0.0833116
0.0065,0.985739,-1.85489
0.00652,0.991504,-1.74072
0.00654,0.997266,-1.64064
0.00656,1.00302,-1.5529
0.00658,1.00878,-1.47598
0.0066,1.01453,-1.40856
0.00662,1.02028,-1.34945
0.00664,1.02603,-1.29764
0.00666,1.03177,-1.25222
0.00668,1.03751,-1.2124
0.0067,1.04325,-1.1775
