Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 10
Frequency, 100
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
0.0001,10,6.66667
0.0002,10,3.88889
0.0003,10,2.26852
0.0004,10,1.3233
0.0005,10,0.771926
0.0006,10,0.45029
0.0007,10,0.262669
0.0008,10,0.153224
0.0009,10,0.0893806
0.001,10,0.0521387
0.0011,10,0.0304142
0.0012,10,0.0177416
0.0013,10,0.0103493
0.0014,10,0.00603708
0.0015,10,0.00352163
0.0016,10,0.00205428
0.0017,10,0.00119833
0.0018,10,0.000699027
0.0019,10,0.000407766
0.002,10,0.000237864
0.0021,10,0.000138754
0.0022,10,8.09397e-005
0.0023,10,4.72148e-005
0.0024,10,2.7542e-005
0.0025,10,1.60661e-005
0.0026,10,9.37192e-006
0.0027,10,5.46695e-006
0.0028,10,3.18906e-006
0.0029,10,1.86028e-006
0.003,10,1.08516e-006
0.0031,10,6.33013e-007
0.0032,10,3.69258e-007
0.0033,10,2.154e-007
0.0034,10,1.2565e-007
0.0035,10,7.32959e-008
0.0036,10,4.27559e-008
0.0037,10,2.4941e-008
0.0038,10,1.45489e-008
0.0039,10,8.48686e-009
0.004,10,4.95067e-009
0.0041,10,2.88789e-009
0.0042,10,1.6846e-009
0.0043,10,9.82685e-010
0.0044,10,5.73234e-010
0.0045,10,3.34387e-010
0.0046,10,1.95059e-010
0.0047,10,1.13784e-010
0.0048,10,6.63735e-011
0.0049,10,3.87179e-011
0.005,10,2.25861e-011
0.0051,-10,-13.3333
0.0052,-10,-7.77778
0.0053,-10,-4.53704
0.0054,-10,-2.6466
0.0055,-10,-1.54385
0.0056,-10,-0.900581
0.0057,-10,-0.525339
0.0058,-10,-0.306448
0.0059,-10,-0.178761
0.006,-10,-0.104277
0.0061,-10,-0.0608284
0.0062,-10,-0.0354833
0.0063,-10,-0.0206986
0.0064,-10,-0.0120742
0.0065,-10,-0.00704326
0.0066,-10,-0.00410857
0.0067,-10,-0.00239667
0.0068,-10,-0.00139805
0.0069,-10,-0.000815532
0.007,-10,-0.000475727
0.0071,-10,-0.000277507
0.0072,-10,-0.000161879
0.0073,-10,-9.44296e-005
0.0074,-10,-5.50839e-005
0.0075,-10,-3.21323e-005
0.0076,-10,-1.87438e-005
0.0077,-10,-1.09339e-005
0.0078,-10,-6.37811e-006
0.0079,-10,-3.72057e-006
0.008,-10,-2.17033e-006
0.0081,-10,-1.26603e-006
0.0082,-10,-7.38515e-007
0.0083,-10,-4.308e-007
0.0084,-10,-2.513e-007
0.0085,-10,-1.46592e-007
0.0086,-10,-8.55119e-008
0.0087,-10,-4.98819e-008
0.0088,-10,-2.90978e-008
0.0089,-10,-1.69737e-008
0.009,-10,-9.90133e-009
0.0091,-10,-5.77578e-009
0.0092,-10,-3.3692e-009
0.0093,-10,-1.96537e-009
0.0094,-10,-1.14647e-009
0.0095,-10,-6.68771e-010
0.0096,-10,-3.90116e-010
0.0097,-10,-2.27568e-010
0.0098,-10,-1.32749e-010
0.0099,-10,-7.74379e-011
0.01,-10,-4.51723e-011
0.0101,10,13.3333
0.0102,10,7.77778
0.0103,10,4.53704
0.0104,10,2.6466
0.0105,10,1.54385
0.0106,10,0.900581
0.0107,10,0.525339
0.0108,10,0.306448
0.0109,10,0.178761
0.011,10,0.104277
0.0111,10,0.0608284
0.0112,10,0.0354833
0.0113,10,0.0206986
0.0114,10,0.0120742
0.0115,10,0.00704326
0.0116,10,0.00410857
0.0117,10,0.00239667
0.0118,10,0.00139805
0.0119,10,0.000815532
0.012,10,0.000475727
0.0121,10,0.000277507
0.0122,10,0.000161879
0.0123,10,9.44296e-005
0.0124,10,5.50839e-005
0.0125,10,3.21323e-005
0.0126,10,1.87438e-005
0.0127,10,1.09339e-005
0.0128,10,6.37811e-006
0.0129,10,3.72057e-006
0.013,10,2.17033e-006
0.0131,10,1.26603e-006
0.0132,10,7.38515e-007
0.0133,10,4.308e-007
0.0134,10,2.513e-007
0.0135,10,1.46592e-007
0.0136,10,8.55119e-008
0.0137,10,4.98819e-008
0.0138,10,2.90978e-008
0.0139,10,1.69737e-008
0.014,10,9.90133e-009
0.0141,10,5.77578e-009
0.0142,10,3.3692e-009
0.0143,10,1.96537e-009
0.0144,10,1.14647e-009
0.0145,10,6.68771e-010
0.0146,10,3.90116e-010
0.0147,10,2.27568e-010
0.0148,10,1.32749e-010
0.0149,10,7.74379e-011
0.015,10,4.51723e-011
0.0151,-10,-13.3333
0.0152,-10,-7.77778
0.0153,-10,-4.53704
0.0154,-10,-2.6466
0.0155,-10,-1.54385
0.0156,-10,-0.900581
0.0157,-10,-0.525339
0.0158,-10,-0.306448
0.0159,-10,-0.178761
0.016,-10,-0.104277
0.0161,-10,-0.0608284
0.0162,-10,-0.0354833
0.0163,-10,-0.0206986
0.0164,-10,-0.0120742
0.0165,-10,-0.00704326
0.0166,-10,-0.00410857
0.0167,-10,-0.00239667
0.0168,-10,-0.00139805
0.0169,-10,-0.000815532
0.017,-10,-0.000475727
0.0171,-10,-0.000277507
0.0172,-10,-0.000161879
0.0173,-10,-9.44296e-005
0.0174,-10,-5.50839e-005
0.0175,-10,-3.21323e-005
0.0176,-10,-1.87438e-005
0.0177,-10,-1.09339e-005
0.0178,-10,-6.37811e-006
0.0179,-10,-3.72057e-006
0.018,-10,-2.17033e-006
0.0181,-10,-1.26603e-006
0.0182,-10,-7.38515e-007
0.0183,-10,-4.308e-007
0.0184,-10,-2.513e-007
0.0185,-10,-1.46592e-007
0.0186,-10,-8.55119e-008
0.0187,-10,-4.98819e-008
0.0188,-10,-2.90978e-008
0.0189,-10,-1.69737e-008
0.019,-10,-9.90133e-009
0.0191,-10,-5.77578e-009
0.0192,-10,-3.3692e-009
0.0193,-10,-1.96537e-009
0.0194,-10,-1.14647e-009
0.0195,-10,-6.68771e-010
0.0196,-10,-3.90116e-010
0.0197,-10,-2.27568e-010
0.0198,-10,-1.32749e-010
0.0199,-10,-7.74379e-011
0.02,-10,-4.51723e-011
0.0201,10,13.3333
0.0202,10,7.77778
0.0203,10,4.53704
0.0204,10,2.6466
0.0205,10,1.54385
0.0206,10,0.900581
0.0207,10,0.525339
0.0208,10,0.306448
0.0209,10,0.178761
0.021,10,0.104277
0.0211,10,0.0608284
0.0212,10,0.0354833
0.0213,10,0.0206986
0.0214,10,0.0120742
0.0215,10,0.00704326
0.0216,10,0.00410857
0.0217,10,0.00239667
0.0218,10,0.00139805
0.0219,10,0.000815532
0.022,10,0.000475727
0.0221,10,0.000277507
0.0222,10,0.000161879
0.0223,10,9.44296e-005
0.0224,10,5.50839e-005
0.0225,10,3.21323e-005
0.0226,10,1.87438e-005
0.0227,10,1.09339e-005
0.0228,10,6.37811e-006
0.0229,10,3.72057e-006
0.023,10,2.17033e-006
0.0231,10,1.26603e-006
0.0232,10,7.38515e-007
0.0233,10,4.308e-007
0.0234,10,2.513e-007
0.0235,10,1.46592e-007
0.0236,10,8.55119e-008
0.0237,10,4.98819e-008
0.0238,10,2.90978e-008
0.0239,10,1.69737e-008
0.024,10,9.90133e-009
0.0241,10,5.77578e-009
0.0242,10,3.3692e-009
0.0243,10,1.96537e-009
0.0244,10,1.14647e-009
0.0245,10,6.68771e-010
0.0246,10,3.90116e-010
0.0247,10,2.27568e-010
0.0248,10,1.32749e-010
0.0249,10,7.74379e-011
0.025,10,4.51723e-011
0.0251,-10,-13.3333
0.0252,-10,-7.77778
0.0253,-10,-4.53704
0.0254,-10,-2.6466
0.0255,-10,-1.54385
0.0256,-10,-0.900581
0.0257,-10,-0.525339
0.0258,-10,-0.306448
0.0259,-10,-0.178761
0.026,-10,-0.104277
0.0261,-10,-0.0608284
0.0262,-10,-0.0354833
0.0263,-10,-0.0206986
