Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 10
Frequency, 100
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
0.0001,10,8.33333
0.0002,10,4.86111
0.0003,10,2.83565
0.0004,10,1.65413
0.0005,10,0.964908
0.0006,10,0.562863
0.0007,10,0.328337
0.0008,10,0.19153
0.0009,10,0.111726
0.001,10,0.0651733
0.0011,10,0.0380178
0.0012,10,0.022177
0.0013,10,0.0129366
0.0014,10,0.00754635
0.0015,10,0.00440204
0.0016,10,0.00256786
0.0017,10,0.00149792
0.0018,10,0.000873784
0.0019,10,0.000509708
0.002,10,0.000297329
0.0021,10,0.000173442
0.0022,10,0.000101175
0.0023,10,5.90185e-005
0.0024,10,3.44275e-005
0.0025,10,2.00827e-005
0.0026,10,1.17149e-005
0.0027,10,6.83369e-006
0.0028,10,3.98632e-006
0.0029,10,2.32535e-006
0.003,10,1.35646e-006
0.0031,10,7.91266e-007
0.0032,10,4.61572e-007
0.0033,10,2.6925e-007
0.0034,10,1.57063e-007
0.0035,10,9.16199e-008
0.0036,10,5.34449e-008
0.0037,10,3.11762e-008
0.0038,10,1.81861e-008
0.0039,10,1.06086e-008
0.004,10,6.18833e-009
0.0041,10,3.60986e-009
0.0042,10,2.10575e-009
0.0043,10,1.22836e-009
0.0044,10,7.16541e-010
0.0045,10,4.17983e-010
0.0046,10,2.43823e-010
0.0047,10,1.4223e-010
0.0048,10,8.29669e-011
0.0049,10,4.83973e-011
0.005,10,2.82316e-011
0.0051,-10,-16.6667
0.0052,-10,-13.0556
0.0053,-10,-10.9491
0.0054,-10,-9.72029
0.0055,-10,-9.0035
0.0056,-10,-8.58538
0.0057,-10,-8.34147
0.0058,-10,-8.19919
0.0059,-10,-8.11619
0.006,-10,-8.06778
0.0061,-10,-8.03954
0.0062,-10,-8.02306
0.0063,-10,-8.01345
0.0064,-10,-8.00785
0.0065,-10,-8.00458
0.0066,-10,-8.00267
0.0067,-10,-8.00156
0.0068,-10,-8.00091
0.0069,-10,-8.00053
0.007,-10,-8.00031
0.0071,-10,-8.00018
0.0072,-10,-8.00011
0.0073,-10,-8.00006
0.0074,-10,-8.00004
0.0075,-10,-8.00002
0.0076,-10,-8.00001
0.0077,-10,-8.00001
0.0078,-10,-8
0.0079,-10,-8
0.008,-10,-8
0.0081,-10,-8
0.0082,-10,-8
0.0083,-10,-8
0.0084,-10,-8
0.0085,-10,-8
0.0086,-10,-8
0.0087,-10,-8
0.0088,-10,-8
0.0089,-10,-8
0.009,-10,-8
0.0091,-10,-8
0.0092,-10,-8
0.0093,-10,-8
0.0094,-10,-8
0.0095,-10,-8
0.0096,-10,-8
0.0097,-10,-8
0.0098,-10,-8
0.0099,-10,-8
0.01,-10,-8
0.0101,10,8.66667
0.0102,10,5.05556
0.0103,10,2.94907
0.0104,10,1.72029
0.0105,10,1.0035
0.0106,10,0.585378
0.0107,10,0.34147
0.0108,10,0.199191
0.0109,10,0.116195
0.011,10,0.0677803
0.0111,10,0.0395385
0.0112,10,0.0230641
0.0113,10,0.0134541
0.0114,10,0.00784821
0.0115,10,0.00457812
0.0116,10,0.00267057
0.0117,10,0.00155783
0.0118,10,0.000908736
0.0119,10,0.000530096
0.012,10,0.000309223
0.0121,10,0.00018038
0.0122,10,0.000105222
0.0123,10,6.13792e-005
0.0124,10,3.58046e-005
0.0125,10,2.0886e-005
0.0126,10,1.21835e-005
0.0127,10,7.10704e-006
0.0128,10,4.14577e-006
0.0129,10,2.41837e-006
0.013,10,1.41071e-006
0.0131,10,8.22917e-007
0.0132,10,4.80035e-007
0.0133,10,2.8002e-007
0.0134,10,1.63345e-007
0.0135,10,9.52847e-008
0.0136,10,5.55827e-008
0.0137,10,3.24233e-008
0.0138,10,1.89136e-008
0.0139,10,1.10329e-008
0.014,10,6.43587e-009
0.0141,10,3.75426e-009
0.0142,10,2.18998e-009
0.0143,10,1.27749e-009
0.0144,10,7.45203e-010
0.0145,10,4.34702e-010
0.0146,10,2.53576e-010
0.0147,10,1.47919e-010
0.0148,10,8.62872e-011
0.0149,10,5.03349e-011
0.015,10,2.93624e-011
0.0151,-10,-16.6667
0.0152,-10,-13.0556
0.0153,-10,-10.9491
0.0154,-10,-9.72029
0.0155,-10,-9.0035
0.0156,-10,-8.58538
0.0157,-10,-8.34147
0.0158,-10,-8.19919
0.0159,-10,-8.11619
0.016,-10,-8.06778
0.0161,-10,-8.03954
0.0162,-10,-8.02306
0.0163,-10,-8.01345
0.0164,-10,-8.00785
0.0165,-10,-8.00458
0.0166,-10,-8.00267
0.0167,-10,-8.00156
0.0168,-10,-8.00091
0.0169,-10,-8.00053
0.017,-10,-8.00031
0.0171,-10,-8.00018
0.0172,-10,-8.00011
0.0173,-10,-8.00006
0.0174,-10,-8.00004
0.0175,-10,-8.00002
0.0176,-10,-8.00001
0.0177,-10,-8.00001
0.0178,-10,-8
0.0179,-10,-8
0.018,-10,-8
0.0181,-10,-8
0.0182,-10,-8
0.0183,-10,-8
0.0184,-10,-8
0.0185,-10,-8
0.0186,-10,-8
0.0187,-10,-8
0.0188,-10,-8
0.0189,-10,-8
0.019,-10,-8
0.0191,-10,-8
0.0192,-10,-8
0.0193,-10,-8
0.0194,-10,-8
0.0195,-10,-8
0.0196,-10,-8
0.0197,-10,-8
0.0198,-10,-8
0.0199,-10,-8
0.02,-10,-8
0.0201,10,8.66667
0.0202,10,5.05556
0.0203,10,2.94907
0.0204,10,1.72029
0.0205,10,1.0035
0.0206,10,0.585378
0.0207,10,0.34147
0.0208,10,0.199191
0.0209,10,0.116195
0.021,10,0.0677803
0.0211,10,0.0395385
0.0212,10,0.0230641
0.0213,10,0.0134541
0.0214,10,0.00784821
0.0215,10,0.00457812
0.0216,10,0.00267057
0.0217,10,0.00155783
0.0218,10,0.000908736
0.0219,10,0.000530096
0.022,10,0.000309223
0.0221,10,0.00018038
0.0222,10,0.000105222
0.0223,10,6.13792e-005
0.0224,10,3.58046e-005
0.0225,10,2.0886e-005
0.0226,10,1.21835e-005
0.0227,10,7.10704e-006
0.0228,10,4.14577e-006
0.0229,10,2.41837e-006
0.023,10,1.41071e-006
0.0231,10,8.22917e-007
0.0232,10,4.80035e-007
0.0233,10,2.8002e-007
0.0234,10,1.63345e-007
0.0235,10,9.52847e-008
0.0236,10,5.55827e-008
0.0237,10,3.24233e-008
0.0238,10,1.89136e-008
0.0239,10,1.10329e-008
0.024,10,6.43587e-009
0.0241,10,3.75426e-009
0.0242,10,2.18998e-009
0.0243,10,1.27749e-009
0.0244,10,7.45203e-010
0.0245,10,4.34702e-010
0.0246,10,2.53576e-010
0.0247,10,1.47919e-010
0.0248,10,8.62872e-011
0.0249,10,5.03349e-011
0.025,10,2.93624e-011
0.0251,-10,-16.6667
0.0252,-10,-13.0556
0.0253,-10,-10.9491
0.0254,-10,-9.72029
0.0255,-10,-9.0035
0.0256,-10,-8.58538
0.0257,-10,-8.34147
0.0258,-10,-8.19919
0.0259,-10,-8.11619
0.026,-10,-8.06778
0.0261,-10,-8.03954
0.0262,-10,-8.02306
0.0263,-10,-8.01345
0.0264,-10,-8.00785
0.0265,-10,-8.00458
0.0266,-10,-8.00267
0.0267,-10,-8.00156
0.0268,-10,-8.00091
0.0269,-10,-8.00053
0.027,-10,-8.00031
0.0271,-10,-8.00018
0.0272,-10,-8.00011
0.0273,-10,-8.00006
0.0274,-10,-8.00004
0.0275,-10,-8.00002
0.0276,-10,-8.00001
0.0277,-10,-8.00001
0.0278,-10,-8
0.0279,-10,-8
0.028,-10,-8
0.0281,-10,-8
0.0282,-10,-8
0.0283,-10,-8
0.0284,-10,-8
0.0285,-10,-8
0.0286,-10,-8
0.0287,-10,-8
0.0288,-10,-8
0.0289,-10,-8
0.029,-10,-8
0.0291,-10,-8
0.0292,-10,-8
0.0293,-10,-8
0.0294,-10,-8
0.0295,-10,-8
0.0296,-10,-8
0.0297,-10,-8
0.0298,-10,-8
0.0299,-10,-8
0.03,-10,-8
0.0301,10,8.66667
0.0302,10,5.05556
0.0303,10,2.94907
0.0304,10,1.72029
0.0305,10,1.0035
0.0306,10,0.585378
0.0307,10,0.34147
0.0308,10,0.199191
0.0309,10,0.116195
0.031,10,0.0677803
0.0311,10,0.0395385
0.0312,10,0.0230641
0.0313,10,0.0134541
0.0314,10,0.00784821
0.0315,10,0.00457812
0.0316,10,0.00267057
0.0317,10,0.00155783
0.0318,10,0.000908736
0.0319,10,0.000530096
0.032,10,0.000309223
0.0321,10,0.00018038
0.0322,10,0.000105222
0.0323,10,6.13792e-005
0.0324,10,3.58046e-005
0.0325,10,2.0886e-005
0.0326,10,1.21835e-005
0.0327,10,7.10704e-006
0.0328,10,4.14577e-006
0.0329,10,2.41837e-006
0.033,10,1.41071e-006
0.0331,10,8.22917e-007
0.0332,10,4.80035e-007
0.0333,10,2.8002e-007
0.0334,10,1.63345e-007
0.0335,10,9.52847e-008
0.0336,10,5.55827e-008
0.0337,10,3.24233e-008
0.0338,10,1.89136e-008
0.0339,10,1.10329e-008
0.034,10,6.43587e-009
0.0341,10,3.75426e-009
0.0342,10,2.18998e-009
0.0343,10,1.27749e-009
0.0344,10,7.45203e-010
0.0345,10,4.34702e-010
0.0346,10,2.53576e-010
0.0347,10,1.47919e-010
0.0348,10,8.62872e-011
0.0349,10,5.03349e-011
0.035,10,2.93624e-011
0.0351,-10,-16.6667
0.0352,-10,-13.0556
0.0353,-10,-10.9491
0.0354,-10,-9.72029
0.0355,-10,-9.0035
0.0356,-10,-8.58538
0.0357,-10,-8.34147
0.0358,-10,-8.19919
0.0359,-10,-8.11619
0.036,-10,-8.06778
0.0361,-10,-8.03954
0.0362,-10,-8.02306
0.0363,-10,-8.01345
0.0364,-10,-8.00785
0.0365,-10,-8.00458
0.0366,-10,-8.00267
0.0367,-10,-8.00156
0.0368,-10,-8.00091
0.0369,-10,-8.00053
0.037,-10,-8.00031
0.0371,-10,-8.00018
0.0372,-10,-8.00011
0.0373,-10,-8.00006
0.0374,-10,-8.00004
0.0375,-10,-8.00002
0.0376,-10,-8.00001
0.0377,-10,-8.00001
0.0378,-10,-8
0.0379,-10,-8
0.038,-10,-8
0.0381,-10,-8
0.0382,-10,-8
0.0383,-10,-8
0.0384,-10,-8
0.0385,-10,-8
0.0386,-10,-8
0.0387,-10,-8
0.0388,-10,-8
0.0389,-10,-8
0.039,-10,-8
0.0391,-10,-8
0.0392,-10,-8
0.0393,-10,-8
0.0394,-10,-8
0.0395,-10,-8
0.0396,-10,-8
0.0397,-10,-8
0.0398,-10,-8
0.0399,-10,-8
0.04,10,8.66667
0.0401,10,5.05556
0.0402,10,2.94907
0.0403,10,1.72029
0.0404,10,1.0035
0.0405,10,0.585378
0.0406,10,0.34147
0.0407,10,0.199191
0.0408,10,0.116195
0.0409,10,0.0677803
0.041,10,0.0395385
0.0411,10,0.0230641
0.0412,10,0.0134541
0.0413,10,0.00784821
0.0414,10,0.00457812
0.0415,10,0.00267057
0.0416,10,0.00155783
0.0417,10,0.000908736
0.0418,10,0.000530096
0.0419,10,0.000309223
0.042,10,0.00018038
0.0421,10,0.000105222
0.0422,10,6.13792e-005
0.0423,10,3.58046e-005
0.0424,10,2.0886e-005
0.0425,10,1.21835e-005
0.0426,10,7.10704e-006
0.0427,10,4.14577e-006
0.0428,10,2.41837e-006
0.0429,10,1.41071e-006
0.043,10,8.22917e-007
0.0431,10,4.80035e-007
0.0432,10,2.8002e-007
0.0433,10,1.63345e-007
0.0434,10,9.52847e-008
0.0435,10,5.55827e-008
0.0436,10,3.24233e-008
0.0437,10,1.89136e-008
0.0438,10,1.10329e-008
0.0439,10,6.43587e-009
0.044,10,3.75426e-009
0.0441,10,2.18998e-009
0.0442,10,1.27749e-009
0.0443,10,7.45203e-010
0.0444,10,4.34702e-010
0.0445,10,2.53576e-010
0.0446,10,1.47919e-010
0.0447,10,8.62872e-011
0.0448,10,5.03349e-011
0.0449,10,2.93624e-011
0.045,-10,-16.6667
0.0451,-10,-13.0556
0.0452,-10,-10.9491
0.0453,-10,-9.72029
0.0454,-10,-9.0035
0.0455,-10,-8.58538
0.0456,-10,-8.34147
0.0457,-10,-8.19919
0.0458,-10,-8.11619
0.0459,-10,-8.06778
0.046,-10,-8.03954
0.0461,-10,-8.02306
0.0462,-10,-8.01345
0.0463,-10,-8.00785
0.0464,-10,-8.00458
0.0465,-10,-8.00267
0.0466,-10,-8.00156
0.0467,-10,-8.00091
0.0468,-10,-8.00053
0.0469,-10,-8.00031
0.047,-10,-8.00018
0.0471,-10,-8.00011
0.0472,-10,-8.00006
0.0473,-10,-8.00004
0.0474,-10,-8.00002
0.0475,-10,-8.00001
0.0476,-10,-8.00001
0.0477,-10,-8
0.0478,-10,-8
0.0479,-10,-8
0.048,-10,-8
0.0481,-10,-8
0.0482,-10,-8
0.0483,-10,-8
0.0484,-10,-8
0.0485,-10,-8
0.0486,-10,-8
0.0487,-10,-8
0.0488,-10,-8
0.0489,-10,-8
0.049,-10,-8
0.0491,-10,-8
0.0492,-10,-8
0.0493,-10,-8
0.0494,-10,-8
0.0495,-10,-8
0.0496,-10,-8
0.0497,-10,-8
0.0498,-10,-8
0.0499,-10,-8
