Simulation Parameters
Resistance,1000
Capacitance, 1e-007

Input Voltage 1
Type, square
Amplitude, 5
Frequency, 100
Phase Angle, 0
DC Offset, 0


Simulation Results
t,V_in,V_out
0,0,0
0.0001,5,3.33333
0.0002,5,1.94444
0.0003,5,1.13426
0.0004,5,0.661651
0.0005,5,0.385963
0.0006,5,0.225145
0.0007,5,0.131335
0.0008,5,0.0766119
0.0009,5,0.0446903
0.001,5,0.0260693
0.0011,5,0.0152071
0.0012,5,0.00887081
0.0013,5,0.00517464
0.0014,5,0.00301854
0.0015,5,0.00176082
0.0016,5,0.00102714
0.0017,5,0.000599166
0.0018,5,0.000349514
0.0019,5,0.000203883
0.002,5,0.000118932
0.0021,5,6.93769e-005
0.0022,5,4.04698e-005
0.0023,5,2.36074e-005
0.0024,5,1.3771e-005
0.0025,5,8.03307e-006
0.0026,5,4.68596e-006
0.0027,5,2.73348e-006
0.0028,5,1.59453e-006
0.0029,5,9.30141e-007
0.003,5,5.42582e-007
0.0031,5,3.16506e-007
0.0032,5,1.84629e-007
0.0033,5,1.077e-007
0.0034,5,6.28251e-008
0.0035,5,3.6648e-008
0.0036,5,2.1378e-008
0.0037,5,1.24705e-008
0.0038,5,7.27445e-009
0.0039,5,4.24343e-009
0.004,5,2.47533e-009
0.0041,5,1.44394e-009
0.0042,5,8.42301e-010
0.0043,5,4.91343e-010
0.0044,5,2.86617e-010
0.0045,5,1.67193e-010
0.0046,5,9.75295e-011
0.0047,5,5.6892e-011
0.0048,5,3.31868e-011
0.0049,5,1.93589e-011
0.005,5,1.12931e-011
0.0051,-5,-6.66667
0.0052,-5,-3.88889
0.0053,-5,-2.26852
0.0054,-5,-1.3233
0.0055,-5,-0.771926
0.0056,-5,-0.45029
0.0057,-5,-0.262669
0.0058,-5,-0.153224
0.0059,-5,-0.0893806
0.006,-5,-0.0521387
0.0061,-5,-0.0304142
0.0062,-5,-0.0177416
0.0063,-5,-0.0103493
0.0064,-5,-0.00603708
0.0065,-5,-0.00352163
0.0066,-5,-0.00205428
0.0067,-5,-0.00119833
0.0068,-5,-0.000699027
0.0069,-5,-0.000407766
0.007,-5,-0.000237864
0.0071,-5,-0.000138754
0.0072,-5,-8.09397e-005
0.0073,-5,-4.72148e-005
0.0074,-5,-2.7542e-005
0.0075,-5,-1.60661e-005
0.0076,-5,-9.37192e-006
0.0077,-5,-5.46695e-006
0.0078,-5,-3.18906e-006
0.0079,-5,-1.86028e-006
0.008,-5,-1.08516e-006
0.0081,-5,-6.33013e-007
0.0082,-5,-3.69258e-007
0.0083,-5,-2.154e-007
0.0084,-5,-1.2565e-007
0.0085,-5,-7.32959e-008
0.0086,-5,-4.27559e-008
0.0087,-5,-2.4941e-008
0.0088,-5,-1.45489e-008
0.0089,-5,-8.48686e-009
0.009,-5,-4.95067e-009
0.0091,-5,-2.88789e-009
0.0092,-5,-1.6846e-009
0.0093,-5,-9.82684e-010
0.0094,-5,-5.73233e-010
0.0095,-5,-3.34385e-010
0.0096,-5,-1.95058e-010
0.0097,-5,-1.13784e-010
0.0098,-5,-6.63746e-011
0.0099,-5,-3.87189e-011
0.01,-5,-2.25861e-011
0.0101,5,6.66667
0.0102,5,3.88889
0.0103,5,2.26852
0.0104,5,1.3233
0.0105,5,0.771926
0.0106,5,0.45029
0.0107,5,0.262669
0.0108,5,0.153224
0.0109,5,0.0893806
0.011,5,0.0521387
0.0111,5,0.0304142
0.0112,5,0.0177416
0.0113,5,0.0103493
0.0114,5,0.00603708
0.0115,5,0.00352163
0.0116,5,0.00205428
0.0117,5,0.00119833
0.0118,5,0.000699027
0.0119,5,0.000407766
0.012,5,0.000237864
0.0121,5,0.000138754
0.0122,5,8.09397e-005
0.0123,5,4.72148e-005
0.0124,5,2.7542e-005
0.0125,5,1.60661e-005
0.0126,5,9.37192e-006
0.0127,5,5.46695e-006
0.0128,5,3.18906e-006
0.0129,5,1.86028e-006
0.013,5,1.08516e-006
0.0131,5,6.33013e-007
0.0132,5,3.69258e-007
0.0133,5,2.154e-007
0.0134,5,1.2565e-007
0.0135,5,7.32959e-008
0.0136,5,4.27559e-008
0.0137,5,2.4941e-008
0.0138,5,1.45489e-008
0.0139,5,8.48686e-009
0.014,5,4.95067e-009
0.0141,5,2.88789e-009
0.0142,5,1.6846e-009
0.0143,5,9.82684e-010
0.0144,5,5.73233e-010
0.0145,5,3.34385e-010
0.0146,5,1.95058e-010
0.0147,5,1.13784e-010
0.0148,5,6.63746e-011
0.0149,5,3.87189e-011
0.015,5,2.25861e-011
0.0151,-5,-6.66667
0.0152,-5,-3.88889
0.0153,-5,-2.26852
0.0154,-5,-1.3233
0.0155,-5,-0.771926
0.0156,-5,-0.45029
0.0157,-5,-0.262669
0.0158,-5,-0.153224
0.0159,-5,-0.0893806
0.016,-5,-0.0521387
0.0161,-5,-0.0304142
0.0162,-5,-0.0177416
0.0163,-5,-0.0103493
0.0164,-5,-0.00603708
0.0165,-5,-0.00352163
0.0166,-5,-0.00205428
0.0167,-5,-0.00119833
0.0168,-5,-0.000699027
0.0169,-5,-0.000407766
0.017,-5,-0.000237864
0.0171,-5,-0.000138754
0.0172,-5,-8.09397e-005
0.0173,-5,-4.72148e-005
0.0174,-5,-2.7542e-005
0.0175,-5,-1.60661e-005
0.0176,-5,-9.37192e-006
0.0177,-5,-5.46695e-006
0.0178,-5,-3.18906e-006
0.0179,-5,-1.86028e-006
0.018,-5,-1.08516e-006
0.0181,-5,-6.33013e-007
0.0182,-5,-3.69258e-007
0.0183,-5,-2.154e-007
0.0184,-5,-1.2565e-007
0.0185,-5,-7.32959e-008
0.0186,-5,-4.27559e-008
0.0187,-5,-2.4941e-008
0.0188,-5,-1.45489e-008
0.0189,-5,-8.48686e-009
0.019,-5,-4.95067e-009
0.0191,-5,-2.88789e-009
0.0192,-5,-1.6846e-009
0.0193,-5,-9.82684e-010
0.0194,-5,-5.73233e-010
0.0195,-5,-3.34385e-010
0.0196,-5,-1.95058e-010
0.0197,-5,-1.13784e-010
0.0198,-5,-6.63746e-011
0.0199,-5,-3.87189e-011
0.02,-5,-2.25861e-011
0.0201,5,6.66667
0.0202,5,3.88889
0.0203,5,2.26852
0.0204,5,1.3233
0.0205,5,0.771926
0.0206,5,0.45029
0.0207,5,0.262669
0.0208,5,0.153224
0.0209,5,0.0893806
0.021,5,0.0521387
0.0211,5,0.0304142
0.0212,5,0.0177416
0.0213,5,0.0103493
0.0214,5,0.00603708
0.0215,5,0.00352163
0.0216,5,0.00205428
0.0217,5,0.00119833
0.0218,5,0.000699027
0.0219,5,0.000407766
0.022,5,0.000237864
0.0221,5,0.000138754
0.0222,5,8.09397e-005
0.0223,5,4.72148e-005
0.0224,5,2.7542e-005
0.0225,5,1.60661e-005
0.0226,5,9.37192e-006
0.0227,5,5.46695e-006
0.0228,5,3.18906e-006
0.0229,5,1.86028e-006
0.023,5,1.08516e-006
0.0231,5,6.33013e-007
0.0232,5,3.69258e-007
0.0233,5,2.154e-007
0.0234,5,1.2565e-007
0.0235,5,7.32959e-008
0.0236,5,4.27559e-008
0.0237,5,2.4941e-008
0.0238,5,1.45489e-008
0.0239,5,8.48686e-009
0.024,5,4.95067e-009
0.0241,5,2.88789e-009
0.0242,5,1.6846e-009
0.0243,5,9.82684e-010
0.0244,5,5.73233e-010
0.0245,5,3.34385e-010
0.0246,5,1.95058e-010
0.0247,5,1.13784e-010
0.0248,5,6.63746e-011
0.0249,5,3.87189e-011
0.025,5,2.25861e-011
0.0251,-5,-6.66667
0.0252,-5,-3.88889
0.0253,-5,-2.26852
0.0254,-5,-1.3233
0.0255,-5,-0.771926
0.0256,-5,-0.45029
0.0257,-5,-0.262669
0.0258,-5,-0.153224
0.0259,-5,-0.0893806
0.026,-5,-0.0521387
0.0261,-5,-0.0304142
0.0262,-5,-0.0177416
0.0263,-5,-0.0103493
0.0264,-5,-0.00603708
0.0265,-5,-0.00352163
0.0266,-5,-0.00205428
0.0267,-5,-0.00119833
0.0268,-5,-0.000699027
0.0269,-5,-0.000407766
0.027,-5,-0.000237864
0.0271,-5,-0.000138754
0.0272,-5,-8.09397e-005
0.0273,-5,-4.72148e-005
0.0274,-5,-2.7542e-005
0.0275,-5,-1.60661e-005
0.0276,-5,-9.37192e-006
0.0277,-5,-5.46695e-006
0.0278,-5,-3.18906e-006
0.0279,-5,-1.86028e-006
0.028,-5,-1.08516e-006
0.0281,-5,-6.33013e-007
0.0282,-5,-3.69258e-007
0.0283,-5,-2.154e-007
0.0284,-5,-1.2565e-007
0.0285,-5,-7.32959e-008
0.0286,-5,-4.27559e-008
0.0287,-5,-2.4941e-008
0.0288,-5,-1.45489e-008
0.0289,-5,-8.48686e-009
0.029,-5,-4.95067e-009
0.0291,-5,-2.88789e-009
0.0292,-5,-1.6846e-009
0.0293,-5,-9.82684e-010
0.0294,-5,-5.73233e-010
